#!lsdb
table,point
name,latitude,longitude,accuracy,satellites,priority,userid,id
"velika gorica autobus jug",457114183,160769633,1,8,0,31691,1266756718
"galženica autobus jug",457126950,160675150,1,8,0,31691,1266750952
"kolodvorska autobus jug",457147749,160615683,1,8,0,31691,1266750857
"goričanka autobus jug",457169783,160573600,1,9,0,31691,1266750791
"zagrebaćka autobus jug",457200266,160542916,1,9,0,31691,1266750723
"rudolfa fizira autobus jug",457221416,160501483,1,9,0,31691,1266750634
"velika mlaka autobus jug",457291133,160286466,1,9,0,31691,1266750484
"veliko polje autobus jug",457325083,160172583,1,8,0,31691,1266750365
"odra nadvožnjak autobus jug",457350333,160110199,1,8,0,31691,1266750298
"odra autobus jug",457427700,159997550,1,6,0,31691,1266750185
"buzin autobus jug",457471600,159936050,1,8,0,31691,1266750118
"oreskovićeva autobus jug",457605316,159876966,1,9,0,31691,1266749961
"podbrežje autobus jug",457651633,159809549,1,10,0,31691,1266749862
"građevinska škola autobus jug",457710466,159804616,1,9,0,31691,1266749779
"muzej suvremene umjetnosti autobus jug",457765900,159796800,1,9,0,31691,1266749385
"trnsko zapad",457771350,159647483,1,10,0,53001,1345571307
"savski gaj zapad",457771966,159562750,1,10,0,53001,1345570601
"savski gaj autobus zapad",457773333,159565666,1,9,0,31691,1266572254
"trnsko autobus zapad",457773349,159646966,1,8,0,31691,1266572176
"velesajam zapad",457773550,159708783,1,11,0,53001,1345571881
"velesajam autobus zapad",457775683,159707833,1,9,0,31691,1266572080
"muzej suvremene umjetnosti zapad",457776133,159808283,1,10,0,53001,1345572600
"muzej suvremene umjetnosti autobus zapad",457777933,159787633,1,10,0,31691,1266571664
"sopot zapad",457777999,159854833,1,9,0,53001,1345573077
"središće zapad",457778299,159893866,1,10,0,53001,1345573826
"sopot autobus zapad",457779283,159895916,1,8,0,31691,1269351735
"arena zagreb sjever",457779566,159529833,1,9,0,53001,1345570263
"utrina zapad",457779866,159959050,1,10,0,53001,1345574568
"zapruđe zapad",457781633,160003733,1,9,0,53001,1345575204
"zapruđe početna, zapad",457782133,160003883,1,10,0,53001,1345575367
"zapruđe, most mladosti jug",457789300,160018600,1,9,0,53001,1345575812
"most mladosti jug",457819500,160013416,1,10,0,53001,1345576450
"bundek autobus jug",457828850,159796866,1,7,0,31691,1269350380
"161, savski most, brezovica, kupinečki kraljevec, štrpet",457838516,159555816,1,10,0,53001,1347897541
"168, savski most, lučko, ježdovec, prečko",457840583,159545616,1,10,0,53001,1347897190
"164, savski most, lučko, horvati",457842050,159547000,1,8,0,53001,1347897098
"110, savski most, remetinec, botinec",457842899,159541733,1,10,0,53001,1347897275
"165, savski most, klinča selo",457843300,159530399,1,10,0,53001,1347896799
"133, savski most, sv. klara, čehi",457843700,159533966,1,12,0,53001,1347896929
"112, savski most, lučko",457845250,159540666,1,8,0,53001,1347897014
"162, savski most, ašpergeri, kupinec",457853233,159532016,1,11,0,53001,1347897671
"169, savski most, kupinec",457853300,159531950,1,10,0,53001,1347898024
"159, savski most, strmec odranski",457853450,159532050,1,10,0,53001,1347898124
"160, savski most, lipnica",457853466,159532016,1,11,0,53001,1347898169
"163, savski most, donji trpuci, gornji trpuci",457853483,159531983,1,10,0,53001,1347898265
"315, savski most, lukavec",457853500,159531966,1,9,0,53001,1347898315
"111, savski most, donji stupnik",457853583,159532450,1,11,0,53001,1347898375
"108, savski most, prisavlje, glavni kolodvor",457853583,159533216,1,8,0,53001,1347898452
"132, savski most, hrvatski leskovac, goli breg, brezovica",457853600,159533200,1,9,0,53001,1347898549
"savski most, dolazni peron",457856816,159534316,1,11,0,53001,1347896670
"savski most zadnja, jug",457859566,159526750,1,7,0,53001,1345490005
"studentski dom stjepan radić, jadranski most sjever",457863416,159517166,1,8,0,53001,1345489532
"studentski dom stjepan radić autobus zapad",457865533,159505816,1,9,0,31691,1266572392
"studentski dom stjepan radić zapad",457867316,159524533,1,9,0,53001,1345489771
"staglišće zapad",457878033,159301183,1,9,0,33999,1363889091
"srednjaci zapad",457880850,159376050,1,10,0,33999,1363888962
"knežija zapad",457881766,159447133,1,8,0,53001,1345488631
"horvati zapad",457881799,159402766,1,10,0,33999,1363888924
"borovje jug",457885333,160042216,1,9,0,53001,1345577101
"veslačka jug",457884016,159548916,1,8,0,53001,1345490818
"knežija autobus zapad",457889550,159455416,1,8,0,31691,1266572480
"savišće zapad",457893116,160348333,1,8,0,53001,1345890687
"jarun zapad",457898683,159200500,1,10,0,33999,1363889215
"prisavlje jug",457905633,159561066,1,8,0,53001,1345662721
"zagrebački transporti zapad",457908900,160364483,1,8,0,53001,1345890735
"petrovaradinska hatzova autobus jug",457915816,159057033,1,10,0,3298,1260370979
"srednjaci knežija autobus zapad",457916250,159448533,1,9,0,31691,1266572560
"rudeška zapad",457917850,159130666,1,10,0,33999,1363889347
"folnegovićevo naselje jug",457922183,160022833,1,10,0,53001,1345577690
"munja zapad",457925416,160381283,1,8,0,53001,1345890814
"petrovaradinska zapad",457926133,159052766,1,9,0,53001,1345480198
"marijane radev zapad",457932216,159020466,1,9,0,53001,1345480515
"vjesnik jug",457935433,159581383,1,9,0,53001,1345662608
"falerovo autobus zapad",457941133,159355350,1,7,0,51133,1258037431
"slavenskog zapad",457941250,158986666,1,10,0,53001,1345481629
"nacionalna sveučilišna knjižnica autobus jug",457942050,159790100,1,9,0,31691,1269350251
"prečko zapad",457943233,158926450,1,8,0,53001,1345482592
"dragutina golika autobus zapad",457944266,159300916,1,8,0,33999,1361468064
"hrvatskog sokola autobus zapad",457951233,159215216,1,9,0,33999,1361468147
"rudeška zagrebačka avenija autobus zapad",457953949,159185616,1,9,0,33999,1361468278
"petrovaradinska zagrebačka avenija autobus jug",457955650,159079950,1,7,0,31691,1266418690
"116, ljubljanica, podsused",457956416,159366616,1,8,0,53001,1346338681
"113, ljubljanica, jarun",457958316,159365466,1,10,0,53001,1346338558
"115, ljubljanica, špansko",457961916,159366133,1,10,0,53001,1346338411
"114, ljubljanica, prečko",457964183,159365766,1,7,0,53001,1346338268
"petrovaradinska zagrebačka avenija autobus zapad",457964899,159077566,1,10,0,3298,1260279993
"učiteljski fakultet jug",457964516,159603216,1,9,0,53001,1345662040
"slavonska avenija jug",457968433,159987183,1,9,0,53001,1345578103
"ljubljanica, autobus, dolazni peron",457969916,159367916,1,10,0,53001,1346344211
"slavenskog zagrebačka avenija autobus zapad",457970883,158987183,1,7,0,31691,1272523766
"elka zapad",457971083,160374733,1,8,0,53001,1345890881
"ljubljanica zadnja, zapad",457971716,159374316,1,8,0,53001,1345557300
"špansko autobus zapad",457972733,158908500,1,8,0,31691,1272523836
"savska opatovina autobus zapad",457974983,158865516,1,8,0,31691,1272523897
"selska zapad",457977000,159425333,1,8,0,53001,1345557052
"gustava krkleca autobus zapad",457979483,159004383,1,8,0,51133,1261410932
"selska ozaljska autobus zapad",457986033,159430983,1,9,0,31691,1266572733
"nehajska zapad",457983666,159471883,1,8,0,53001,1358930066
"zagrebčanka jug",457989699,159617683,1,9,0,53001,1345661870
"žitnjak zapad",457991466,160344833,1,8,0,53001,1345890933
"lisinski autobus jug",457995483,159785650,1,8,0,31691,1269350159
"ratarska autobus jug",457999016,159135900,1,8,0,51133,1261069239
"zagrebčanka sjever",457999400,159627516,1,11,0,53001,1345654489
"sveučilišna aleja zapad",458000866,159738633,1,8,0,53001,1345893372
"miramarska zapad",458000883,159738566,1,7,0,53001,1345893270
"trešnjevački trg zapad",458000049,159548050,1,11,0,53001,1358929886
"lisinski zapad",458002833,159780233,1,8,0,53001,1345893216
"držićeva jug",458003733,159957933,1,8,0,53001,1345742538
"kruge zapad",458006833,159856066,1,8,0,53001,1345893124
"čavićeva zapad",458008566,160311450,1,8,0,53001,1345890990
"strojarska zapad",458008883,159895983,1,7,0,53001,1345893072
"držićeva zapad",458010416,159944683,1,11,0,53001,1345743185
"olibska zapad",458014150,160002183,1,8,0,53001,1345891700
"radnička zapad",458016166,160047516,1,9,0,53001,1345891615
"držićeva sjever, b,",458016183,159952000,1,9,0,53001,1345743411
"antuna šoljana autobus zapad",458018916,159020333,1,8,0,51133,1261411064
