#!lsdb
table,point
name,latitude,longitude,accuracy,satellites,priority,userid,id
"zagrebačka 42 autobus sjever",457159066,160707550,1,8,0,31691,1266756938
"hrvatske bratske zajednice autobus sjever",457175283,160656283,1,8,0,31691,1266757012
"groblje autobus sjever",457190766,160608350,1,8,0,31691,1266757072
"podbrežnica autobus sjever",457211599,160540500,1,8,0,31691,1266757176
"velika mlaka autobus sjever",457299483,160262149,1,8,0,31691,1266757406
"veliko polje autobus sjever",457336133,160146150,1,8,0,31691,1266757499
"odra željeznička stanica autobus sjever",457359416,160108616,1,7,0,31691,1266757560
"odra nadvožnjak autobus sjever",457398649,160042366,1,8,0,31691,1266757652
"odra autobus sjever",457442783,159980300,1,8,0,31691,1266757759
"buzin autobus sjever",457487149,159918983,1,8,0,31691,1266757836
"oreškovićeva autobus sjever",457606283,159878033,1,7,0,31691,1266758036
"otok nežićeva autobus sjever",457644299,159810166,1,8,0,31691,1266758127
"građevinska škola autobus sjever",457724050,159805550,1,7,0,31691,1266758215
"trnsko istok",457770649,159652166,1,10,0,53001,1345571178
"savski gaj istok",457771383,159566933,1,10,0,53001,1345570493
"velesajam istok",457772800,159714433,1,10,0,53001,1345571791
"muzej suvremene umjetnosti autobus istok",457773049,159817883,1,8,0,31691,1269350547
"muzej suvremene umjetnosti istok",457774633,159796483,1,9,0,53001,1345572283
"sopot autobus istok",457775350,159866083,1,7,0,31691,1269350622
"sopot istok",457776700,159867766,1,10,0,53001,1345573241
"arena zagreb jug",457777583,159529000,1,9,0,53001,1345570192
"središće istok",457777866,159915900,1,11,0,53001,1345573592
"utrina istok",457779150,159979133,1,10,0,53001,1345574356
"zapruđe istok",457780833,160008466,1,10,0,53001,1345575114
"muzej suvremene umjetnosti autobus sjever",457785216,159806800,1,7,0,51133,1265737472
"zapruđe, most mladosti sjever",457794383,160017666,1,8,0,53001,1345576098
"most mladosti sjever",457823433,160015333,1,10,0,53001,1345576361
"161, savski most, brezovica, kupinečki kraljevec, štrpet",457838516,159555816,1,10,0,53001,1347897541
"168, savski most, lučko, ježdovec, prečko",457840583,159545616,1,10,0,53001,1347897190
"bundek autobus sjever",457841883,159800600,1,9,0,51133,1265737711
"164, savski most, lučko, horvati",457842050,159547000,1,8,0,53001,1347897098
"110, savski most, remetinec, botinec",457842899,159541733,1,10,0,53001,1347897275
"165, savski most, klinča selo",457843300,159530399,1,10,0,53001,1347896799
"133, savski most, sv. klara, čehi",457843700,159533966,1,12,0,53001,1347896929
"112, savski most, lučko",457845250,159540666,1,8,0,53001,1347897014
"162, savski most, ašpergeri, kupinec",457853233,159532016,1,11,0,53001,1347897671
"169, savski most, kupinec",457853300,159531950,1,10,0,53001,1347898024
"159, savski most, strmec odranski",457853450,159532050,1,10,0,53001,1347898124
"160, savski most, lipnica",457853466,159532016,1,11,0,53001,1347898169
"163, savski most, donji trpuci, gornji trpuci",457853483,159531983,1,10,0,53001,1347898265
"315, savski most, lukavec",457853500,159531966,1,9,0,53001,1347898315
"111, savski most, donji stupnik",457853583,159532450,1,11,0,53001,1347898375
"108, savski most, prisavlje, glavni kolodvor",457853583,159533216,1,8,0,53001,1347898452
"132, savski most, hrvatski leskovac, goli breg, brezovica",457853600,159533200,1,9,0,53001,1347898549
"savski most, dolazni peron",457856816,159534316,1,11,0,53001,1347896670
"savski most početna, sjever, b,",457860250,159532566,1,7,0,53001,1345490204
"savski most početna, sjever, a,",457862083,159534050,1,8,0,53001,1345490282
"studentski dom stjepan radić, jadranski most sjever",457863416,159517166,1,8,0,53001,1345489532
"studentski dom stjepan radić istok",457863533,159507833,1,9,0,53001,1345489324
"113 crveni križ autobus sjever",457867466,159282883,1,10,0,8667,1274795435
"staglišće istok",457879400,159293350,1,9,0,53001,1345486215
"srednjaci istok",457880750,159366383,1,8,0,53001,1345487225
"horvati istok",457880866,159419483,1,8,0,53001,1345487540
"knežija istok",457881133,159452033,1,8,0,53001,1345488496
"veslačka sjever",457887633,159550800,1,8,0,53001,1345490651
"borovje sjever",457888300,160043166,1,10,0,53001,1345577033
"savišće istok",457890783,160345166,1,9,0,53001,1345890302
"113 našička autobus sjever",457897133,159304300,1,8,0,8667,1274795862
"jarun istok",457897183,159203816,1,8,0,53001,1345485367
"prisavlje sjever",457913516,159569216,1,9,0,53001,1345653869
"zagrebački transporti istok",457915066,160369600,1,9,0,53001,1345890227
"rudeška istok",457916766,159144250,1,9,0,53001,1345483837
"folnegovićevo naselje sjever",457920066,160025516,1,8,0,53001,1345577601
"petrovaradinska istok",457923783,159068599,1,9,0,53001,1345479888
"prilaz ku�i iz horva�anske",457925433,159074866,1,7,0,51133,1257857424
"ku�a zapad",457929366,159077700,1,8,0,51133,1257857513
"ku�a istok",457929416,159084383,1,8,0,31691,1266314243
"marijane radev istok",457930149,159021683,1,9,0,53001,1345480982
"munja istok",457932149,160385033,1,9,0,53001,1345889194
"falerovo autobus istok",457937350,159380716,1,11,0,31691,1270530889
"dragutina golika autobus istok",457939900,159326966,1,8,0,53001,1344487708
"nehajska zagrebačka avenija autobus istok",457941533,159501983,1,11,0,31691,1270531033
"slavenskog istok",457943216,158985450,1,8,0,53001,1345481807
"prečko istok",457943483,158933500,1,9,0,53001,1345482987
"hrvatskog sokola autobus istok",457946866,159238200,2,7,0,31691,1270530646
"vjesnik sjever",457947716,159591450,1,10,0,53001,1345654103
"134 prečko črnomerec autobus početna",457948116,158995816,1,9,0,51133,1262157513
"rudeška zagrebačka avenija autobus istok",457949700,159206116,1,10,0,31691,1270530593
"nacionalna sveučilišna knjižnica autobus sjever",457955433,159797716,1,9,0,51133,1265737837
"116, ljubljanica, podsused",457956416,159366616,1,8,0,53001,1346338681
"113, ljubljanica, jarun",457958316,159365466,1,10,0,53001,1346338558
"petrovaradinska zagrebačka avenija autobus istok",457958416,159094150,1,8,0,33999,1372751845
"115, ljubljanica, špansko",457961916,159366133,1,10,0,53001,1346338411
"114, ljubljanica, prečko",457964183,159365766,1,7,0,53001,1346338268
"slavonska avenija sjever",457966099,159989183,1,10,0,53001,1345577983
"petrovaradinska zagrebačka avenija autobus sjever",457967416,159094266,1,8,0,51133,1261069688
"slavenskog zagrebačka avenija autobus istok",457967683,159012200,1,8,0,51133,1261420389
"elka istok",457967749,160375533,1,8,0,53001,1345889115
"ljubljanica, autobus, dolazni peron",457969916,159367916,1,10,0,53001,1346344211
"učiteljski fakultet sjever",457971533,159608583,1,10,0,53001,1345654220
"ljubljanica početna, istok, a,",457972833,159384716,1,8,0,53001,1345525389
"selska istok",457978616,159439283,1,9,0,53001,1345525589
"kimg autobus istok",457979916,158574466,1,7,0,31691,1338313646
"gustava krkleca autobus istok",457980983,159012683,1,8,0,51133,1261420080
"nehajska istok",457988166,159483216,1,9,0,53001,1345525778
"žitnjak istok",457989000,160346500,1,9,0,53001,1345889057
"zagrebčanka istok",457992616,159630700,1,10,0,53001,1345886181
"lisinski autobus sjever",457993899,159795666,1,8,0,31691,1266758640
"vrbik istok",457995383,159671983,1,10,0,53001,1345886343
"trešnjevački trg istok",457998866,159532600,1,9,0,53001,1345655731
"sveučilišna aleja istok",457998783,159695066,1,7,0,53001,1345887006
"ratarska autobus sjever",457999233,159136066,1,8,0,51133,1262158172
"zagrebčanka sjever",457999400,159627516,1,11,0,53001,1345654489
"miramarska istok",457999966,159752916,1,7,0,53001,1345887119
"lisinski istok",458002650,159799833,1,8,0,53001,1345887175
"kruge istok",458004416,159848450,1,8,0,53001,1345887266
"strojarska istok",458006900,159888183,1,8,0,53001,1345887643
"čavićeva istok",458010249,160304400,1,9,0,53001,1345888950
"držićeva istok",458011066,159963466,1,10,0,53001,1345742784
"olibska istok",458012433,159996816,1,7,0,53001,1345887901
"radnička istok",458015300,160039050,1,8,0,53001,1345888432
"badalićeva istok",458018349,159591516,1,9,0,53001,1345656078
"antuna šoljana autobus istok",458015750,159030450,1,8,0,51133,1261419966
"držićeva sjever, b,",458016183,159952000,1,9,0,53001,1345743411
"držićeva sjever, a,",458019283,159951266,1,9,0,53001,1345743472
"234, glavni kolodvor, kajzerica, lanište",458019783,159771916,1,10,0,53001,1346612142
"tržnica špansko autobus istok",458020766,158983633,1,10,0,51133,1261419885
"matije vlačića autobus istok",458021333,158948550,1,7,0,51133,1261419837
"heinzelova, vukovarska istok",458022200,160104383,1,7,0,53001,1345888514
"115 špansko ljubljanica autobus početna",458022333,158895483,1,8,0,51133,1261155414
"218, glavni kolodvor, borovje, savica",458023566,159772700,1,9,0,53001,1346602111
"zagrebačka190 autobus sjever",458023750,159176216,1,8,0,51133,1262158234
"studentski centar sjever",458024799,159644883,1,9,0,53001,1345654836
"295, glavni kolodvor, sajam jakuševec",458024816,159772633,1,10,0,53001,1346602275
"330, glavni kolodvor, velika gorica",458024983,159773133,1,10,0,53001,1346602209
"268, glavni kolodvor, velika gorica",458027116,159771616,1,9,0,53001,1346602341
"getaldićeva istok",458029083,160267350,1,9,0,53001,1345888875
"studentski centar jug",458029283,159647750,1,8,0,53001,1345661377
"donje svetice istok",458029966,160146233,1,8,0,53001,1345888632
"219, glavni kolodvor, sloboština",458030849,159771649,1,11,0,53001,1346602381
"tehnički muzej istok",458032383,159641766,1,9,0,33999,1363878135
"220, glavni kolodvor, dugave",458035483,159775116,1,9,0,53001,1346602490
"glavni kolodvor, dolazni peron, a",458035933,159777733,1,8,0,53001,1346602528
"glavni kolodvor autobus okretište",458036316,159774799,1,8,0,31691,1266758754
"autobusni kolodvor jug, a,",458036616,159938433,1,8,0,53001,1345744115
"podhodnik glavnog kolodvora",458037633,159775133,1,9,0,53001,1346602661
"221, glavni kolodvor, travno",458037683,159774433,1,9,0,53001,1346602587
"310, glavni kolodvor, petrovina",458038199,159791016,1,11,0,53001,1346603051
"229, glavni kolodvor, odra - mala mlaka",458038566,159789816,1,10,0,53001,1346603017
"166, glavni kolodvor, donji dragonožec",458038583,159789783,1,11,0,53001,1346602971
"108, glavni kolodvor, savski most",458038700,159787316,1,12,0,53001,1346602896
"ivaničgradska istok",458038733,160198466,1,7,0,53001,1345888753
"autobusni kolodvor jug, b,",458038916,159937716,1,8,0,53001,1345744052
"glavni kolodvor, dolazni peron, b",458039083,159786300,1,11,0,53001,1346602858
"autobusni kolodvor sjever, b,",458039733,159938316,1,7,0,53001,1345743967
"medarska autobus sjever",458042266,159206333,1,9,0,51133,1262158286
"ferenščica istok",458042366,160231766,1,8,0,53001,1345888822
"autobusni kolodvor sjever, a,",458042416,159938233,1,9,0,53001,1345743843
"glavni kolodvor istok, b,",458052649,159788183,1,10,0,53001,1345751930
"glavni kolodvor istok, a",458053966,159792016,1,10,0,33999,1363878903
"branimirova istok",458055733,159836450,1,9,0,33999,1363879008
"branimirova zapad",458054633,159843016,1,8,0,53001,1345752553
"vodnikova istok",458054433,159677233,1,8,0,33999,1370259859
"branimirova tržnica zapad",458055933,159904750,1,10,0,53001,1345753072
"vodnikova sjever",458061583,159667233,1,9,0,53001,1345657203
"botanički vrt istok",458058100,159735016,1,9,0,33999,1363878743
"sokolska autobus sjever",458056633,159230200,1,8,0,51133,1262158346
"branimirova tržnica istok",458060616,159917150,1,9,0,53001,1345753153
"mažuranićev trg, dolazni peron",458076750,159693366,1,11,0,53001,1346862475
"šeraton istok",458077300,159841283,1,8,0,53001,1345750076
"adžijina istok",458078916,159616400,1,8,0,53001,1345835464
"trg kralja petra krešimira četvrtog sjever",458079533,159918383,1,10,0,53001,1345744422
"118, mažuranićev trg, voltino naselje",458079566,159694083,1,9,0,53001,1346862571
"trg maršala tita sjever",458086483,159684650,1,8,0,53001,1345657820
"mažuranićev trg, doživi grad",458082500,159692516,1,8,0,53001,1346862721
"šeraton sjever",458082583,159837433,1,9,0,53001,1345749967
"tomislovava autobus sjever",458087683,159273116,1,8,0,51133,1262158411
"trg žrtava fašizma istok",458092749,159873950,1,8,0,53001,1345750318
"autobusna početna, zapadni kolodvor",458094450,159539450,1,9,0,53001,1346267201
"zapadni kolodvor istok",458095716,159554300,1,8,0,53001,1345834626
"talovčeva jug",458096483,159571650,1,10,0,53001,1345834179
"zrinjevac jug",458098599,159778250,1,9,0,53001,1345751373
"šubićeva istok",458104133,159940600,1,8,0,53001,1345745001
"šubićeva sjever",458107450,159937966,1,9,0,53001,1345744769
"klinika za traumatologiju sjever",458109250,159838733,1,8,0,53001,1345749387
"tuškanova istok",458111166,159974333,1,8,0,53001,1345810108
"trg hrvatskih velikana istok",458116783,159844916,1,8,0,53001,1345749226
"frankopanska sjever",458123866,159695383,1,8,0,53001,1345658042
"samoborska škorpikova autobus istok",458119233,158602283,1,9,0,31691,1338313453
"prilaz baruna filipovića autobus istok",458120849,159346750,1,8,0,51133,1262158509
"heinzelova, zvonimirova istok",458120933,160012933,1,8,0,53001,1345811018
"146, reljkovićeva, malešnica, jankomir",458122733,159552466,1,8,0,53001,1346267608
"vrapčanska aleja autobus istok",458124583,158958750,1,7,0,31691,1269792529
"139, reljkovićeva, jelenovac, reljkovićeva",458124633,159552266,1,10,0,53001,1346267745
"mandaličina istok",458124683,159484433,1,9,0,53001,1345831526
"britanski trg istok",458124816,159629516,1,8,0,53001,1345833257
"216, kvaternikov trg, resnik, ivanja reka",458125583,159993133,1,10,0,53001,1347200527
"276, kvaternikov trg, ivanja reka, dumovec",458125633,159992850,1,9,0,53001,1347200574
"slovenska istok",458126533,159519766,1,9,0,53001,1345832240
"217, kvaternikov trg, struge, petruševačko naselje",458127133,159990750,1,11,0,53001,1347200469
"vrapčanska autobus istok",458128016,159073333,1,7,0,31691,1269792677
"215, kvaternikov trg, trnava",458128550,159988733,1,8,0,53001,1347200385
"trg doktora franje tuđmana sjever",458128716,159566733,1,10,0,53001,1345832743
"gospodska autobus istok",458129683,158861550,1,7,0,31691,1269792444
"draškovićeva sjever, b,",458129716,159837966,1,10,0,53001,1345748688
"trg doktora franje tuđmana istok",458129816,159561616,1,10,0,53001,1345832608
"trg bana josipa jelačića istok, b,",458129850,159770783,1,7,0,53001,1345750980
"237, kvaternikov trg, kozari putevi",458130116,159985950,1,9,0,53001,1347200341
"trg bana josipa jelačića istok, a,",458130633,159774166,1,9,0,53001,1345751030
"šulekova istok",458131633,160044466,1,9,0,53001,1345811526
"frankopanska istok",458132933,159693633,1,10,0,53001,1345658641
"sveti duh istok",458133783,159431216,1,8,0,53001,1345831024
"med potoki autobus istok",458133933,158783783,1,8,0,31691,1269792198
"kvaternikov trg, dolazni peron",458134000,159980683,1,9,0,53001,1347200193
"204, kvaternikov trg, horvatovac, voćarska",458135150,159979033,1,10,0,53001,1347200145
"draškovićeva sjever, a,",458135566,159838733,1,10,0,53001,1345748576
"101, britanski trg, gornje prekrižje",458135583,159645650,1,9,0,53001,1346956033
"138, britanski trg, zelemgaj",458135700,159645600,1,10,0,53001,1346956069
"britanski trg, dolazni peron",458136650,159646433,1,10,0,53001,1346955990
"vončinina istok",458137366,159868666,1,8,0,53001,1345748224
"105, britanski trg, kaptol",458137566,159645333,1,9,0,53001,1346956167
"102, britanski trg, mihaljevac",458137600,159645500,1,9,0,53001,1346956139
"borongaj zadnja, istok",458137616,160180700,1,8,0,53001,1345812405
"202, kvaternikov trg, kozjak",458138099,159974383,1,9,0,53001,1347199997
"201, kvaternikov trg, kaptol",458138366,159976700,1,9,0,53001,1347200054
"kustošijanska autobus istok",458138716,159290866,1,7,0,31691,1269792859
"tržnica kvatrić sjever",458139383,159965433,1,10,0,53001,1345745829
"petrova istok",458140499,159913016,1,10,0,53001,1345747677
"103, britanski trg, kraljevec",458142299,159639300,1,9,0,53001,1346955918
"kvaternikov trg sjever",458147166,159972716,1,9,0,53001,1345746864
"harambašićeva istok",458147249,160080250,1,8,0,53001,1345813545
"kvaternikov trg istok",458148133,159966166,1,10,0,53001,1345747054
"109, črnomerec, dugave",458149350,159338200,1,10,0,53001,1346175806
"146, reljkovićeva, malešnica, jankomir",458149366,159338200,1,10,0,53001,1346175893
"črnomerec, dolazni peron istok",458149683,159342866,1,9,0,53001,1346175966
"črnomerec početna, istok, b,",458150633,159342550,1,8,0,53001,1345830325
"črnomerec početna, istok, a,",458151083,159346716,1,9,0,53001,1345830261
"105 kaptol, britanski trg",458151550,159786916,1,9,0,53001,1347037509
"podsused ljubljanica početna",458151649,158362250,1,7,0,31691,1338312881
"črnomerec autobus okretište",458152350,159332066,1,8,0,51133,1262158702
"svetice istok",458152816,160126866,1,8,0,53001,1345811738
"kaptol dolazni peron",458153183,159787816,1,9,0,53001,1347038390
"črnomerec, dolazni peron zapad",458153283,159332266,1,10,0,53001,1346175731
"201 kaptol, kvaternikov trg",458153883,159787316,1,9,0,53001,1347037560
"238 kaptol, kozjak",458153983,159787416,1,10,0,53001,1347037597
"128 črnomerec luksići autobus početna",458155000,159338966,1,7,0,51133,1262158938
"127, črnomerec, mikulići",458155050,159337066,1,9,0,53001,1346175592
"119, črnomerec, podsused",458155366,159343766,1,9,0,53001,1346175237
"120, črnomerec, gajnice",458155399,159343733,1,8,0,53001,1346175269
"128, črnomerec, lukšići",458155466,159339816,1,9,0,53001,1346175554
"122, črnomerec, susedgrad",458155683,159341833,1,10,0,53001,1346175467
"123, črnomerec, podsusedsko dolje",458155683,159341849,1,10,0,53001,1346175512
"136, črnomerec, špansko",458155733,159346366,1,8,0,53001,1346175178
"177, črnomerec, poljanica, gornja bistra",458156216,159334733,1,10,0,53001,1346176202
"176, črnomerec, gornja bistra",458156333,159334650,1,9,0,53001,1346176151
"106 kaptol, mirogoj - krematorij",458156333,159786950,1,10,0,53001,1347037645
"226 kaptol, svetice",458156616,159786983,1,10,0,53001,1347037679
"124, črnomerec, gornji stenjevec",458156683,159336866,1,9,0,53001,1346176306
"131, črnomerec, bizek",458156683,159336883,1,8,0,53001,1346176341
"134, črnomerec, prečko",458157049,159336483,1,10,0,53001,1346176393
"121, črnomerec, karažnik, gajnice",458157233,159338483,1,10,0,53001,1346176479
"130, črnomerec, borčec",458157250,159338500,1,10,0,53001,1346176521
"137, črnomerec, perjavica, borčec",458157700,159339600,1,9,0,53001,1346176614
"125, črnomerec, gornje vrapče",458157783,159339533,1,8,0,53001,1346176570
"126, črnomerec, gornja kustošija, krvarić",458158000,159340200,1,10,0,53001,1346178964
"135, črnomerec, graberje",458158033,159340200,1,11,0,53001,1346179001
"172, črnomerec, zaprešić",458158150,159342616,1,11,0,53001,1346179058
"mašićeva istok",458166250,160027466,1,8,0,53001,1346089264
"227, svetice, gornji bukovac, čret",458176633,160131633,1,8,0,53001,1347188988
"jordanovac istok",458176800,160075683,1,9,0,53001,1346089375
"203, svetice, vinec, krematorij",458178500,160131233,1,8,0,53001,1347189051
"226, svetice, remete, kaptol",458178683,160130966,1,8,0,53001,1347189104
"228, svetice, k b c rebro",458181933,160130833,1,8,0,53001,1347189159
"bukovačka istok",458189016,160138966,1,9,0,53001,1346089459
"svetice, dolazni peron",458193650,160127616,1,9,0,53001,1347189319
"grškovićeva sjever",458194750,159797733,1,10,0,53001,1345968851
"autobusna postaja sveti duh, smjer, b,",458197550,159376816,1,9,0,53001,1346178107
"autobusna postaja sveti duh, smjer, a,",458198300,159378333,1,9,0,53001,1346177039
"hondlova istok",458209366,160225200,1,9,0,53001,1346089554
"belostenčeva sjever",458216766,159801150,1,8,0,53001,1345968898
"ravnice istok",458219549,160272766,1,9,0,53001,1346089615
"dubrava okretište, peron 2, linija 12,",458244450,160373549,1,10,0,53001,1346089786
"223, dubrava, dubec",458244566,160371633,1,11,0,53001,1346090610
"dubrava, okretište, dolazni peron, sjever",458245350,160363283,1,9,0,53001,1346095029
"dubrava okretište, peron 3, linija 7",458245416,160374016,1,10,0,53001,1346090223
"209, dubrava, gornje čučerje",458245916,160373800,1,11,0,53001,1346090679
"206, dubrava, miroševec",458246166,160377716,1,11,0,53001,1346090742
"230, dubrava, granešinski novaki",458247033,160367716,1,10,0,53001,1346090953
"dubrava, okretište, dolazni peron, istok",458247066,160372666,1,10,0,53001,1346095180
"dubrava dubec, istok",458247683,160398933,1,8,0,53001,1346091740
